,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
144,"frozenset({'Google Play', 'Não utilizo meu smartphone para nenhum dos serviços acima'})",frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
145,"frozenset({'Não utilizo nenhum desses apps de delivery', 'Google Play'})",frozenset({'Android'}),0.40625,0.875,0.40625,1.0,1.1428571428571428,0.05078125,inf
146,"frozenset({'Google Play', 'Uber'})",frozenset({'Android'}),0.3125,0.875,0.25,0.8,0.9142857142857144,-0.0234375,0.6250000000000001
147,"frozenset({'Google Play', 'WhastApp Messenger'})",frozenset({'Android'}),0.375,0.875,0.34375,0.9166666666666666,1.0476190476190477,0.015625,1.4999999999999993
148,"frozenset({'Google Play', 'Youtube'})",frozenset({'Android'}),0.53125,0.875,0.5,0.9411764705882353,1.0756302521008403,0.03515625,2.1249999999999996
149,"frozenset({'Google Play', 'Android'})",frozenset({'Youtube'}),0.53125,0.90625,0.5,0.9411764705882353,1.0385395537525355,0.0185546875,1.5937499999999996
150,frozenset({'Google Play'}),"frozenset({'Youtube', 'Android'})",0.59375,0.8125,0.5,0.8421052631578947,1.0364372469635628,0.017578125,1.1874999999999996
151,"frozenset({'Mercado Livre', 'Instagram'})",frozenset({'Android'}),0.25,0.875,0.25,1.0,1.1428571428571428,0.03125,inf
152,"frozenset({'Instagram', 'Android'})",frozenset({'Mercado Livre'}),0.28125,0.8125,0.25,0.8888888888888888,1.094017094017094,0.021484375,1.6874999999999993
153,frozenset({'Instagram'}),"frozenset({'Mercado Livre', 'Android'})",0.3125,0.75,0.25,0.8,1.0666666666666667,0.015625,1.2500000000000002
154,"frozenset({'Instagram', 'Android'})",frozenset({'Backup'}),0.28125,0.84375,0.28125,1.0,1.1851851851851851,0.0439453125,inf
155,"frozenset({'Instagram', 'Backup'})",frozenset({'Android'}),0.3125,0.875,0.28125,0.9,1.0285714285714287,0.0078125,1.2500000000000002
156,frozenset({'Instagram'}),"frozenset({'Android', 'Backup'})",0.3125,0.71875,0.28125,0.9,1.2521739130434784,0.056640625,2.8125000000000004
157,"frozenset({'Banco', 'Instagram'})",frozenset({'Android'}),0.25,0.875,0.21875,0.875,1.0,0.0,1.0
158,"frozenset({'Instagram', 'Android'})",frozenset({'Compras'}),0.28125,0.9375,0.28125,1.0,1.0666666666666667,0.017578125,inf
159,"frozenset({'Instagram', 'Compras'})",frozenset({'Android'}),0.3125,0.875,0.28125,0.9,1.0285714285714287,0.0078125,1.2500000000000002
160,frozenset({'Instagram'}),"frozenset({'Android', 'Compras'})",0.3125,0.84375,0.28125,0.9,1.0666666666666667,0.017578125,1.5625000000000004
161,"frozenset({'Não uso nenhum desses/Não viajo', 'Instagram'})",frozenset({'Android'}),0.25,0.875,0.21875,0.875,1.0,0.0,1.0
162,"frozenset({'Instagram', 'Android'})",frozenset({'Youtube'}),0.28125,0.90625,0.28125,1.0,1.103448275862069,0.0263671875,inf
163,"frozenset({'Instagram', 'Youtube'})",frozenset({'Android'}),0.3125,0.875,0.28125,0.9,1.0285714285714287,0.0078125,1.2500000000000002
164,frozenset({'Instagram'}),"frozenset({'Youtube', 'Android'})",0.3125,0.8125,0.28125,0.9,1.1076923076923078,0.02734375,1.8750000000000004
